Description,Current_Progress_consolidated_data,component,baseline_consolidated_data,actual_consolidated_data,Target_consolidated_data,Date,Month,Year,Quarter,State,Latitude,Longitude,indicator,Current_Progress_summed_data,baseline_summed_data,Target_summed_data,actual_summed_data,%achieved_consolidated_data,%achieved_summed_data
Number of public junior secondary schools that benefit from one or more project interventions,94,PDO Indicators,50,544,1094,2023-01-01,1,2023,Q1,KEBBI,11.4942,4.2333,Number of public junior secondary schools that benefit from one or more project interventions,3637,75,834282,3561,49.725776965265084,0.42683409206958794
Number of students enrolled in public junior secondary schools who will benefit from one or more of the project interventions,170799,PDO Indicators,52,171246,171832,2023-02-01,2,2023,Q1,KEBBI,11.4942,4.2333,Number of students enrolled in public junior secondary schools who will benefit from one or more of the project interventions,1280591,85,2178978,1280505,99.65896922575538,58.76631154605507
Number of public senior secondary schools that benefit from one or more project interventions,224,PDO Indicators,55,669,1290,2023-03-01,3,2023,Q1,KEBBI,11.4942,4.2333,Number of public senior secondary schools that benefit from one or more project interventions,3731,77,845666,3653,51.86046511627907,0.4319672305614746
Number of students enrolled in public senior secondary schools who will benefit from one or more of the project interventions,113161,PDO Indicators,57,113603,114261,2023-04-01,4,2023,Q2,KEBBI,11.4942,4.2333,Number of students enrolled in public senior secondary schools who will benefit from one or more of the project interventions,1225929,87,2135606,1225841,99.42412546713226,57.400147780068046
Number of OOS children who will benefit from nonformal education,0,PDO Indicators,60,0,0,2023-05-01,5,2023,Q2,KEBBI,11.4942,4.2333,Number of OOS children who will benefit from nonformal education,0,11,379032,0,,0.0
Number of girls enrolled in public junior secondary schools who will benefit from one or more of the project interventions,71507,PDO Indicators,62,71944,72673,2023-06-01,6,2023,Q2,KEBBI,11.4942,4.2333,Number of girls enrolled in public junior secondary schools who will benefit from one or more of the project interventions,629301,46,1256720,629254,98.9968764190277,50.071137564453494
Number of girls enrolled in public senior secondary schools who will benefit from one or more of the project interventions,48939,PDO Indicators,65,49374,50139,2023-07-01,7,2023,Q3,KEBBI,11.4942,4.2333,Number of girls enrolled in public senior secondary schools who will benefit from one or more of the project interventions,623363,53,1295943,623309,98.47424160832885,48.09694562183676
Number of OOS girls who will benefit from nonformal education,0,PDO Indicators,67,432,1233,2023-08-01,8,2023,Q3,KEBBI,11.4942,4.2333,Number of OOS girls who will benefit from nonformal education,0,12,390322,0,35.03649635036496,0.0
Number of boys enrolled in public junior secondary schools who will benefit from one or more of the project interventions,103340,PDO Indicators,70,103770,104606,2023-09-01,9,2023,Q3,KEBBI,11.4942,4.2333,Number of boys enrolled in public junior secondary schools who will benefit from one or more of the project interventions,655338,16,1068241,655321,99.20081066095635,61.34580118156858
Number of boys enrolled in public senior secondary schools who will benefit from one or more of the project interventions,66612,PDO Indicators,72,67039,67912,2023-10-01,10,2023,Q4,KEBBI,11.4942,4.2333,Number of boys enrolled in public senior secondary schools who will benefit from one or more of the project interventions,604956,17,1029149,604938,98.71451289904583,58.780409833755854
